Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 6.5
""
Время, с;Тв, С;Тст, С
537;662;431.55073566343117
538;662;432.27582457173423
539;663;433.0000089666862
540;663;433.7232879290724
541;663;434.4456605510144
542;663;435.16712593593263
543;664;435.88768319851
544;664;436.6073314646545
545;664;437.3260698714629
546;664;438.0438975671839
547;665;438.760813711182
548;665;439.4768174739012
549;665;440.19190803682864
550;666;440.9060845924588
551;666;441.61934634425745
552;666;442.3316925066259
553;666;443.0431223048656
554;667;443.7536349751423
555;667;444.4632297644505
556;667;445.17190593057876
557;667;445.87966274207383
558;668;446.58649947820595
559;668;447.29241542893374
560;668;447.9974098948693
561;668;448.70148218724364
562;669;449.4046316278717
563;669;450.1068575491181
564;669;450.80815929386233
565;670;451.5085362154648
566;670;452.20798767773215
567;670;452.90651305488325
568;670;453.6041117315152
569;671;454.3007831025691
570;671;454.99652657329625
571;671;455.6913415592244
572;671;456.3852274861239
573;672;457.078183789974
574;672;457.7702099169293
575;672;458.4613053232862
576;672;459.15146947544974
577;673;459.8407018498999
578;673;460.5290019331584
579;673;461.2163692217556
580;673;461.90280322219746
581;674;462.58830345093236
582;674;463.27286943431784
583;674;463.9565007085881
584;674;464.6391968198211
585;675;465.32095732390553
586;675;466.0017817865081
587;675;466.68166978304123
588;675;467.36062089863015
589;676;468.0386347280803
590;676;468.71571087584505
591;676;469.3918489559933
592;676;470.0670485921768
593;677;470.74130941759813
594;677;471.4146310749784
595;677;472.08701321652495
596;677;472.7584555038994
597;678;473.42895760818544
598;678;474.0985192098565
599;678;474.76713999874426
600;678;475.43481967400635
601;679;476.10155794409445
602;679;476.7673545267228
603;679;477.4322091488359
604;679;478.09612154657714
605;680;478.7590914652568
606;680;479.42111865932054
607;680;480.0822028923177
608;680;480.7423439368697
609;681;481.4015415746385
610;681;482.0597955962951
611;681;482.71710580148795
612;681;483.37347199881185
613;682;484.0288940057761
614;682;484.68337164877346
615;682;485.33690476304855
616;682;485.98949319266694
617;683;486.64113679048353
618;683;487.2918354181114
619;683;487.941588945891
620;683;488.59039725285834
621;684;489.23826022671426
622;684;489.8851777637934
623;684;490.53114976903305
624;684;491.1761761559418
625;684;491.820256846569
626;685;492.46339177147365
627;685;493.1055808696933
628;685;493.7468240887132
629;685;494.38712138443555
630;686;495.02647272114837
631;686;495.66487807149497
632;686;496.3023374164428
633;686;496.93885074525303
634;687;497.57441805544954
635;687;498.2090393527882
636;687;498.8427146512262
637;687;499.4754439728914
638;688;500.10722734805165
639;688;500.73806481508404
640;688;501.36795642044444
641;688;501.9969022186368
642;688;502.6249022721828
643;689;503.25195665159083
644;689;503.8780654353259
645;689;504.5032287097788
646;689;505.1274465692361
647;690;505.75071911584905
648;690;506.37304645960364
649;690;506.99442871829
650;690;507.61486601747185
651;691;508.2343584904563
652;691;508.8529062782635
653;691;509.47050952959614
654;691;510.0871684008092
655;691;510.7028830558796
656;692;511.31765366637615
657;692;511.9314804114289
658;692;512.5443634776991
659;692;513.156303059349
660;693;513.7672993580117
661;693;514.3773525827604
662;693;514.9864629500792
663;693;515.5946306838318
664;693;516.2018560152325
665;694;516.8081391828151
666;694;517.4134804324035
667;694;518.0178800170811
668;694;518.6213381971611
669;695;519.2238552401562
670;695;519.8254314207487
671;695;520.4260670207605
672;695;521.0257623291227
673;695;521.6245176418465
674;696;522.2223332619923
675;696;522.8192094996401
676;696;523.4151466718598
677;696;524.010145102681
678;697;524.6042051230633
679;697;525.197327070866
680;697;525.7895112908188
681;697;526.3807581344918
682;697;526.9710679602653
683;698;527.5604411333003
684;698;528.1488780255089
685;698;528.7363790155242
686;698;529.3229444886706
687;698;529.908574836934
688;699;530.4932704589324
689;699;531.077031759886
690;699;531.6598591515874
691;699;532.241753052372
692;700;532.8227138870885
693;700;533.4027420870693
694;700;533.9818380901005
695;700;534.5600023403928
696;700;535.1372352885514
697;701;535.7135373915473
698;701;536.2889091126868
699;701;536.8633509215827
700;701;537.4368632941241
701;701;538.0094467124479
702;702;538.5811016649085
703;702;539.1518286460488
704;702;539.7216281565707
705;702;540.2905007033055
706;703;540.858446799185
707;703;541.4254669632118
708;703;541.9915617204298
709;703;542.5567316018954
710;703;543.120977144648
711;704;543.6842988916807
712;704;544.2466973919107
713;704;544.8081732001511
714;704;545.3687268770806
715;704;545.9283589892149
716;705;546.4870701088774
717;705;547.0448608141704
718;705;547.6017316889454
719;705;548.1576833227745
720;705;548.7127163109212
721;706;549.2668312543115
722;706;549.8200287595045
723;706;550.3723094386639
724;706;550.9236739095289
725;706;551.4741227953851
726;707;552.0236567250358
727;707;552.5722763327731
728;707;553.1199822583487
729;707;553.6667751469457
730;707;554.2126556491495
731;708;554.7576244209188
732;708;555.3016821235572
733;708;555.8448294236844
734;708;556.3870669932074
735;708;556.9283955092922
736;709;557.4688156543343
737;709;558.0083281159315
738;709;558.5469335868538
739;709;559.0846327650161
740;709;559.6214263534489
741;710;560.1573150602703
742;710;560.6922995986573
743;710;561.2263806868174
744;710;561.7595590479601
745;710;562.2918354102691
746;711;562.8232105068731
747;711;563.3536850758185
748;711;563.8832598600402
749;711;564.4119356073339
750;711;564.9397130703279
751;712;565.4665930064548
752;712;565.9925761779233
753;712;566.5176633516904
754;712;567.0418552994331
755;712;567.5651527975203
756;713;568.0875566269851
757;713;568.6090675734968
758;713;569.1296864273324
759;713;569.6494139833499
760;713;570.168251040959
761;714;570.6861984040946
762;714;571.2032568811883
763;714;571.7194272851406
764;714;572.2347104332938
765;714;572.7491071474037
766;715;573.2626182536123
767;715;573.7752445824203
768;715;574.2869869686593
769;715;574.7978462514644
770;715;575.3078232742469
771;716;575.8169188846664
772;716;576.3251339346041
773;716;576.8324692801349
774;716;577.3389257815003
775;716;577.8445043030812
776;717;578.3492057133706
777;717;578.8530308849463
778;717;579.355980694444
779;717;579.8580560225303
780;717;580.3592577538749
781;718;580.8595867771247
782;718;581.3590439848759
783;718;581.8576302736477
784;718;582.355346543855
785;718;582.852193699782
786;718;583.3481726495547
787;719;583.8432843051152
788;719;584.3375295821938
789;719;584.8309094002835
790;719;585.3234246826127
791;719;585.8150763561185
792;720;586.3058653514212
793;720;586.7957926027964
794;720;587.2848590481497
795;720;587.7730656289899
796;720;588.2604132904029
797;721;588.746902981025
798;721;589.232535653017
799;721;589.717312262038
800;721;590.2012337672195
801;721;590.6843011311387
802;721;591.166515319793
803;722;591.6478773025739
804;722;592.1283880522411
805;722;592.6080485448965
806;722;593.0868597599587
807;722;593.5648226801366
808;723;594.0419382914043
809;723;594.5182075829754
810;723;594.9936315472769
811;723;595.4682111799241
812;723;595.9419474796949
813;723;596.4148414485046
814;724;596.8868940913801
815;724;597.3581064164347
816;724;597.8284794348431
817;724;598.2980141608157
818;724;598.7667116115738
819;725;599.2345728073242
820;725;599.7015987712344
821;725;600.1677905294076
822;725;600.6331491108573
823;725;601.0976755474827
824;725;601.561370874044
825;726;602.0242361281374
826;726;602.4862723501706
827;726;602.9474805833376
828;726;603.4078618735948
829;726;603.867417269636
830;727;604.3261478228679
831;727;604.784054587386
832;727;605.2411386199497
833;727;605.6974009799584
834;727;606.1528427294272
835;727;606.6074649329626
836;728;607.061268657738
837;728;607.5142549734704
838;728;607.9664249523959
839;728;608.4177796692456
840;728;608.8683202012222
841;728;609.3180476279756
842;729;609.7669630315795
843;729;610.2150674965076
844;729;610.6623621096098
845;729;611.1088479600891
846;729;611.5545261394773
847;730;611.9993977416121
848;730;612.4434638626137
849;730;612.8867256008612
850;730;613.3291840569692
851;730;613.7708403337652
852;730;614.211695536266
853;731;614.6517507716545
854;731;615.091007149257
855;731;615.5294657805202
856;731;615.9671277789882
857;731;616.4039942602795
858;731;616.8400663420648
859;732;617.2753451440437
860;732;617.7098317879224
861;732;618.1435273973912
862;732;618.5764330981016
863;732;619.0085500176443
864;732;619.4398792855268
865;733;619.8704220331507
866;733;620.30017939379
867;733;620.7291525025686
868;733;621.1573424964382
