Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 4.8
""
Время, с;Тв, С;Тст, С
646;689;569.3975368718264
647;690;569.9663386621294
648;690;570.5338815017494
649;690;571.1001673238917
650;690;571.665198068689
651;691;572.2289756831274
652;691;572.7915021209711
653;691;573.3527793426888
654;691;573.9128093153788
655;691;574.4715940126956
656;692;575.029135414776
657;692;575.5854355081656
658;692;576.1404962857457
659;692;576.6943197466603
660;693;577.2469078962432
661;693;577.7982627459455
662;693;578.3483863132636
663;693;578.8972806216667
664;693;579.4449477005254
665;694;579.9913895850398
666;694;580.5366083161682
667;694;581.0806059405563
668;694;581.6233845104662
669;695;582.1649460837053
670;695;582.705292723557
671;695;583.2444264987095
672;695;583.7823494831864
673;695;584.3190637562773
674;696;584.854571402468
675;696;585.3888745113716
676;696;585.9219751776594
677;696;586.4538755009927
678;697;586.984577585954
679;697;587.514083541979
680;697;588.0423954832888
681;697;588.5695155288224
682;697;589.0954458021689
683;698;589.6201884315008
684;698;590.143745549507
685;698;590.6661192933262
686;698;591.1873118044808
687;698;591.7073252288104
688;699;592.2261617164062
689;699;592.7438234215456
690;699;593.2603125026266
691;699;593.775631122103
692;700;594.2897814464197
693;700;594.8027656459479
694;700;595.314585894921
695;700;595.8252443713708
696;700;596.3347432570633
697;701;596.8430847374361
698;701;597.3502710015343
699;701;597.8563042419482
700;701;598.3611866547504
701;701;598.8649204394336
702;702;599.3675077988482
703;702;599.8689509391409
704;702;600.3692520696926
705;702;600.8684134030577
706;703;601.3664371549027
707;703;601.8633255439454
708;703;602.3590807918948
709;703;602.8537051233906
710;703;603.3472007659431
711;704;603.839569949874
712;704;604.3308149082568
713;704;604.8209378768577
714;704;605.3099410940765
715;704;605.7978268008889
716;705;606.2845972407869
717;705;606.770254659722
718;705;607.2548013060469
719;705;607.7382394304581
720;705;608.2205712859387
721;706;608.7017991277019
722;706;609.1819252131336
723;706;609.6609518017368
724;706;610.1388811550754
725;706;610.6157155367181
726;707;611.091457212183
727;707;611.5661084488825
728;707;612.0396715160686
729;707;612.5121486847776
730;707;612.9835422277763
731;708;613.4538544195076
732;708;613.9230875360366
733;708;614.3912438549975
734;708;614.8583256555398
735;708;615.3243352182757
736;709;615.7892748252272
737;709;616.2531467597736
738;709;616.7159533065999
739;709;617.1776967516441
740;709;617.6383793820464
741;710;618.0980034860974
742;710;618.5565713531872
743;710;619.0140852737551
744;710;619.4705475392383
745;710;619.9259604420224
746;711;620.3803262753914
747;711;620.8336473334781
748;711;621.2859259112143
749;711;621.7371643042826
750;711;622.1873648090668
751;712;622.6365297226041
752;712;623.0846613425364
753;712;623.5317619670626
754;712;623.977833894891
755;712;624.4228794251919
756;713;624.8669008575505
757;713;625.30990049192
758;713;625.7518806285751
759;713;626.1928435680662
760;713;626.6327916111728
761;714;627.0717270588583
762;714;627.5096522122242
763;714;627.9465693724652
764;714;628.3824808408247
765;714;628.8173889185495
766;715;629.251295906846
767;715;629.6842041068364
768;715;630.1161158195143
769;715;630.5470333457018
770;715;630.9769589860063
771;716;631.4058950407771
772;716;631.8338438100635
773;716;632.2608075935722
774;716;632.6867886906247
775;716;633.1117894001163
776;717;633.5358120204743
777;717;633.9588588496164
778;717;634.3809321849103
779;717;634.8020343231328
780;717;635.2221675604294
781;718;635.6413341922738
782;718;636.0595365134286
783;718;636.4767768179055
784;718;636.8930573989259
785;718;637.3083805488817
786;718;637.722748559297
787;719;638.136163720789
788;719;638.5486283230305
789;719;638.960144654711
790;719;639.3707150035
791;719;639.7803416560088
792;720;640.1890268977536
793;720;640.5967730131189
794;720;641.0035822853202
795;720;641.4094569963687
796;720;641.8143994270339
797;721;642.2184118568089
798;721;642.6214965638742
799;721;643.0236558250627
800;721;643.4248919158247
801;721;643.8252071101928
802;721;644.2246036807476
803;722;644.6230838985838
804;722;645.0206500332755
805;722;645.4173043528433
806;722;645.8130491237201
807;722;646.2078866107186
808;723;646.6018190769976
809;723;646.99484878403
810;723;647.3869779915701
811;723;647.7782089576216
812;723;648.1685439384053
813;723;648.557985188328
814;724;648.9465349599506
815;724;649.3341955039573
816;724;649.7209690691246
817;724;650.1068579022908
818;724;650.4918642483254
819;725;650.8759903500992
820;725;651.2592384484541
821;725;651.641610782174
822;725;652.023109587955
823;725;652.4037371003765
824;725;652.7834955518721
825;726;653.1623871727013
826;726;653.5404141909208
827;726;653.9175788323568
828;726;654.2938833205762
829;726;654.6693298768605
830;727;655.0439207201767
831;727;655.4176580671514
832;727;655.7905441320431
833;727;656.1625811267163
834;727;656.5337712606142
835;727;656.9041167407333
836;728;657.2736197715969
837;728;657.6422825552296
838;728;658.0101072911318
839;728;658.3770961762547
840;728;658.7432514049748
841;728;659.1085751690696
842;729;659.4730696576928
843;729;659.8367370573501
844;729;660.1995795518751
845;729;660.5615993224056
846;729;660.9227985473599
847;730;661.2831794024132
848;730;661.642744060475
849;730;662.0014946916656
850;730;662.3594334632938
851;730;662.7165625398344
852;730;663.0728840829056
853;731;663.4284002512476
854;731;663.7831132007003
855;731;664.1370250841821
856;731;664.4901380516683
857;731;664.84245425017
858;731;665.1939758237135
859;732;665.5447049133192
860;732;665.8946436569813
861;732;666.2437941896479
862;732;666.5921586432005
863;732;666.9397391464344
864;732;667.286537825039
865;733;667.6325568015786
866;733;667.9777981954733
867;733;668.3222641229794
868;733;668.6659566971717
869;733;669.0088780279242
870;734;669.3510302218918
871;734;669.6924153824928
872;734;670.0330356098901
873;734;670.3728930009745
874;734;670.7119896493463
875;734;671.0503276452986
876;735;671.3879090757999
877;735;671.7247360244777
878;735;672.0608105716009
879;735;672.3961347940643
880;735;672.730710765372
881;735;673.064540555621
882;736;673.3976262314856
883;736;673.7299698562017
884;736;674.0615734895515
885;736;674.3924391878479
886;736;674.7225690039195
887;736;675.0519649870957
888;737;675.3806291831922
889;737;675.7085636344962
890;737;676.0357703797521
891;737;676.3622514541477
892;737;676.6880088892998
893;737;677.0130447132409
894;738;677.3373609504051
895;738;677.6609596216152
896;738;677.9838427440694
897;738;678.306012331328
898;738;678.6274703933009
899;738;678.9482189362346
900;739;679.2682599627004
901;739;679.5875954715813
902;739;679.9062274580604
903;739;680.2241579136088
904;739;680.5413888259741
905;739;680.8579221791683
906;740;681.1737599534571
907;740;681.4889041253479
908;740;681.8033566675794
